word,syllables
're,1
've,1
u.s.,2
'll,1
comps,1
srs,3
double-digit,4
q4,2
n't,1
nvidia,3
'd,1
ge,1
iphone,2
q2,2
year-over-year,3
quotecenter,3
world-class,2
in-stream,2
netflix,2
vo3,2
webcast,2
eps,3
full-year,2
gpus,2
ride-hailing,3
phonepe,2
roce,1
two-year,2
capex,2
coca-cola,4
gaap,1
non-gaap,2
post-training,3
customization,5
youtube,2
fulfilment,3
q1,2
personalisation,6
best-selling,3
robotaxi,4
industry-leading,5
exxonmobil,4
nitin,2
cfm56,3
cfm,3
full-scale,2
10-q,2
10-k,2
forward-looking,4
ah-64e,5
hbt,3
1b,2
widebodies,3
genx,1
full-margin,3
mcd,3
realise,3
low-income,3
qsr,3
idl,3
iom,3
slivered,2
t700,5
1a,2
reengage,3
stand-alone,3
narrowbodies,4
cutting-edge,3
8-k,2
2x,2
near-zero,3
petabytes,3
gpu,3
gbd,3
s-curves,2
fastest-growing,4
nosql,3
decade-long,3
fintech,2
ipo,3
all-weather,3
same-day,2
top-line,2
fabricone,3
higher-margin,4
sql,2
all-time,2
wwdc,4
on-device,3
macos,3
ipados,4
embedding,3
gigawatt,3
multi-gigawatt,5
gigawatts,3
ai-first,3
fungibility,5
cfo,3
domain-specific,5
fine-tuning,3
pretraining,3
freighted,2
eimear,3
fourth-quarter,3
ccus,1
co2,3
bio-based,3
tco,3
optimizing,4
wpmp,4
powerade,3
bodyarmor,4
dj,2
pdc,3
fairlife,2
bottom-line,3
second-quarter,4
contextually,4
hyper-exponential,6
annualises,4
favourable,4
fsd,3
eu,2
unblock,2
charge-offs,2
year-end,2
recognised,3
personalised,4
relationship-focused,6
top-performing,4
favourably,4
long-standing,3
38th,3
rotce,1
geographies,3
broad-based,2
oil-equivalent,5
five-year,2
high-return,3
unrivalled,3
capitalise,4
re-engage,3
self-driving,3
laser-focused,4
tuck-in,2
mid-single,3
real-time,2
cross-sell,2
remodelling,4
dfcs,4
optimized,3
full-stack,2
i/o,2
high-growth,2
tpu,3
google,2
tpus,3
unicorns,3
state-of-the-art,4
deeptink,2
third-party,3
roadmap,2
half-weighted,3
neighbours,2
espn,4
curation,3
